scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage
BR-06,64,1,33,1,33,0.0,-1.0,0,-1,0.018899969290941954,True,ADVANCE,9,1000.0,4.074816299265197
BR-06,65,1,32,1,32,0.0,-1.0,0,-1,0.018300022929906845,True,ADVANCE,7,1282.360776859909,4.141616566466266
BR-06,66,1,32,1,31,7.050756427137004,-7.091321019752684,0,0,0.049900030717253685,False,WAIT,8,1641.1803884299545,4.141616566466266
BR-06,67,1,31,1,31,0.0,-1.0,0,-1,0.01939997309818864,True,ADVANCE,13,1800.7374029168082,4.208416833667335
BR-06,68,1,30,1,30,0.0,-1.0,0,-1,0.01999997766688466,True,ADVANCE,9,1800.7374029168082,4.275217100868404
BR-06,69,1,29,1,29,0.0,-1.0,0,-1,0.019200029782950878,True,ADVANCE,12,1641.1803884299545,4.342017368069472
BR-06,70,1,28,1,28,0.0,-1.0,0,-1,0.018799968529492617,True,ADVANCE,5,1129.9303907247136,4.408817635270541
BR-06,71,1,27,1,27,0.0,-1.0,0,-1,0.021199986804276705,True,ADVANCE,8,1000.0,4.47561790247161
BR-06,72,1,26,1,26,0.0,-1.0,0,-1,0.01910002902150154,True,ADVANCE,11,1129.9303907247136,4.542418169672679
BR-06,73,1,25,1,25,0.0,-1.0,0,-1,0.019200029782950878,True,ADVANCE,5,1000.0,4.609218436873747
BR-06,74,1,24,1,24,0.0,-1.0,0,-1,0.01850002445280552,True,ADVANCE,7,1018.3156388887342,4.676018704074816
BR-06,75,1,23,1,23,0.0,-1.0,0,-1,0.018400023691356182,True,ADVANCE,4,1000.0,4.742818971275885
BR-06,76,1,22,1,22,0.0,-1.0,0,-1,0.024300010409206152,True,ADVANCE,8,1709.8428290555119,4.809619238476954
BR-06,77,1,21,1,21,0.0,-1.0,0,-1,0.01869996776804328,True,ADVANCE,11,1129.9303907247136,4.876419505678023
BR-06,78,1,20,1,20,0.0,-1.0,0,-1,0.01869996776804328,True,ADVANCE,7,1441.9177913467624,4.943219772879091
BR-06,79,1,19,1,19,0.0,-1.0,0,-1,0.018200022168457508,True,ADVANCE,9,1641.1803884299545,5.01002004008016
BR-06,80,1,18,1,18,0.0,-1.0,0,-1,0.019199971575289965,True,ADVANCE,10,1238.2984139466093,5.076820307281229
BR-06,81,1,17,1,17,-6.594763128582525,-7.517253439780279,0,-1,0.03519997699186206,True,ADVANCE,12,1129.9303907247136,5.143620574482298
BR-06,82,1,16,1,16,0.0,-1.0,0,-1,0.023900007363408804,True,ADVANCE,8,1000.0,5.210420841683367
BR-06,83,1,15,1,15,0.0,-1.0,0,-1,0.020299979951232672,True,ADVANCE,8,1230.1653323127296,5.277221108884436
BR-06,84,2,15,2,15,1.0,0.0,1,0,0.019599974621087313,True,ADVANCE,5,1000.0,5.344021376085505
BR-06,85,2,14,2,14,0.0,-1.0,0,-1,0.020700041204690933,True,ADVANCE,9,1055.6379982778428,5.410821643286573
BR-06,86,3,14,3,14,1.0,0.0,1,0,0.02169999061152339,True,ADVANCE,12,1550.2858145686582,5.477621910487642
BR-06,87,3,13,3,13,0.0,-1.0,0,-1,0.020199979189783335,True,ADVANCE,6,1000.0,5.544422177688711
BR-06,88,3,12,3,12,0.0,-1.0,0,-1,0.025800021830946207,True,ADVANCE,7,1000.0,5.61122244488978
BR-06,89,2,12,2,12,-1.0,0.0,-1,0,0.02169999061152339,True,ADVANCE,13,1610.9311067528286,5.678022712090848
BR-06,90,1,12,1,12,-1.0,0.0,-1,0,0.02169999061152339,True,ADVANCE,11,1000.0,5.744822979291917
BR-06,91,1,11,1,11,0.0,-1.0,0,-1,0.018599967006593943,True,ADVANCE,5,1000.0,5.811623246492986
BR-06,92,1,10,1,10,0.0,-1.0,0,-1,0.020300038158893585,True,ADVANCE,14,1211.8496934239954,5.878423513694055
BR-06,93,1,10,1,9,0.0,-10.0,0,0,0.06390002090483904,False,WAIT,10,1129.9303907247136,5.878423513694055
BR-06,94,1,9,1,9,0.0,-1.0,0,-1,0.019400031305849552,True,ADVANCE,14,1497.5557896246055,5.945223780895124
BR-06,95,1,8,1,8,0.0,-1.0,0,-1,0.018499966245144606,True,ADVANCE,8,1282.360776859909,6.012024048096192
