scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage
BR-06,143,5,0,5,0,3,6,0.006499991286545992,1.0,1,True,ADVANCE,14,1211.8496934239954,8.617234468937877
BR-06,144,6,0,6,0,4,5,0.0171000137925148,1.0,1,True,ADVANCE,8,1441.9177913467624,8.684034736138944
BR-06,145,6,1,6,1,3,4,0.007399998139590025,1.0,1,True,ADVANCE,9,1441.9177913467624,8.750835003340013
BR-06,146,6,2,6,2,4,6,0.007800001185387373,1.0,1,True,ADVANCE,9,1022.8734649112389,8.817635270541082
BR-06,147,6,3,6,3,4,7,0.006299989763647318,1.0,1,True,ADVANCE,6,1055.6379982778428,8.884435537742151
BR-06,148,6,4,6,4,4,7,0.006999995093792677,1.0,1,True,ADVANCE,10,1601.474805833616,8.95123580494322
BR-06,149,6,4,5,4,1,1,0.001500011421740055,-1.0,0,False,WAIT,13,1441.9177913467624,8.95123580494322
BR-06,150,5,4,5,4,2,4,0.005999987479299307,1.0,1,True,ADVANCE,9,1011.7436284570214,9.01803607214429
BR-06,151,5,5,5,5,4,7,0.015099998563528061,1.0,1,True,ADVANCE,10,1000.0,9.084836339345358
BR-06,152,5,6,5,6,4,6,0.010200019460171461,1.0,1,True,ADVANCE,12,1022.8734649112389,9.151636606546425
BR-06,153,5,7,5,7,4,7,0.007399998139590025,1.0,1,True,ADVANCE,7,1000.0,9.218436873747494
BR-06,154,5,7,4,7,1421,30,1.512999995611608,-1.0,0,False,WAIT,6,1011.7436284570214,9.218436873747494
BR-06,155,4,7,4,7,2,4,0.004399975296109915,1.0,1,True,ADVANCE,6,1000.0,9.285237140948563
BR-06,156,4,8,4,8,4,7,0.009200011845678091,1.0,1,True,ADVANCE,9,1211.8496934239954,9.352037408149632
BR-06,157,4,9,4,9,4,7,0.007700000423938036,1.0,1,True,ADVANCE,10,1441.9177913467624,9.418837675350701
BR-06,158,4,10,4,10,4,7,0.006799993570894003,1.0,1,True,ADVANCE,8,1441.9177913467624,9.48563794255177
BR-06,159,4,11,4,11,4,7,0.006799993570894003,1.0,1,True,ADVANCE,5,1000.0,9.55243820975284
BR-06,160,4,12,4,12,4,7,0.006699992809444666,1.0,1,True,ADVANCE,11,1641.1803884299545,9.619238476953909
BR-06,161,4,12,4,13,1308,30,1.2700000079348683,-1.0,0,False,WAIT,15,1000.0,9.619238476953909
BR-06,162,4,13,4,13,4,7,0.006499991286545992,1.0,1,True,ADVANCE,7,1018.3156388887342,9.686038744154976
BR-06,163,4,14,4,14,4,6,0.00909995287656784,1.0,1,True,ADVANCE,8,1441.9177913467624,9.752839011356047
BR-06,164,5,14,5,14,4,6,0.008100003469735384,1.0,1,True,ADVANCE,11,1441.9177913467624,9.819639278557114
BR-06,165,5,13,5,13,3,5,0.004999979864805937,1.0,1,True,ADVANCE,6,1000.0,9.886439545758183
BR-06,166,5,12,5,12,3,6,0.004800036549568176,1.0,1,True,ADVANCE,7,1000.0,9.953239812959252
BR-06,167,5,12,5,11,1,1,0.0023999600671231747,-1.0,0,False,WAIT,12,1800.7374029168082,9.953239812959252
BR-06,168,5,11,5,11,3,6,0.007399998139590025,1.0,1,True,ADVANCE,9,1000.0,10.02004008016032
BR-06,169,5,10,5,10,3,6,0.0048999791033566,1.0,1,True,ADVANCE,9,1800.7374029168082,10.08684034736139
BR-06,170,5,9,5,9,3,6,0.009600014891475439,1.0,1,True,ADVANCE,10,1641.1803884299545,10.153640614562457
BR-06,171,5,8,5,8,3,6,0.005999987479299307,1.0,1,True,ADVANCE,4,1000.0,10.220440881763528
BR-06,172,6,8,6,8,5,8,0.008000002708286047,1.0,1,True,ADVANCE,13,1800.7374029168082,10.287241148964595
BR-06,173,6,7,6,7,2,1,0.0032999669201672077,1.0,1,True,ADVANCE,8,1800.7374029168082,10.354041416165664
BR-06,174,6,6,6,6,3,6,0.005599984433501959,1.0,1,True,ADVANCE,8,1000.0,10.420841683366733
BR-06,175,6,5,6,5,3,6,0.014399993233382702,1.0,1,True,ADVANCE,6,1129.9303907247136,10.487641950567802
BR-06,176,7,5,7,5,4,4,0.006399990525096655,1.0,1,True,ADVANCE,11,1453.661419803784,10.554442217768871
BR-06,177,7,4,7,4,2,3,0.0038999714888632298,1.0,1,True,ADVANCE,3,1000.0,10.62124248496994
BR-06,178,7,3,7,3,3,5,0.008300004992634058,1.0,1,True,ADVANCE,9,1000.0,10.68804275217101
BR-06,179,7,2,7,2,3,6,0.008300004992634058,1.0,1,True,ADVANCE,11,1000.0,10.754843019372078
BR-06,180,7,1,7,1,3,6,0.009499955922365189,1.0,1,True,ADVANCE,6,1800.7374029168082,10.821643286573146
BR-06,181,7,0,7,0,3,6,0.018799968529492617,1.0,1,True,ADVANCE,5,1000.0,10.888443553774215
BR-06,182,8,0,8,0,4,4,0.007499998901039362,1.0,1,True,ADVANCE,13,1441.9177913467624,10.955243820975284
BR-06,183,8,1,8,1,3,4,0.012699980288743973,1.0,1,True,ADVANCE,14,1067.381626734864,11.022044088176353
BR-06,184,8,2,8,2,4,6,0.01999997766688466,1.0,1,True,ADVANCE,13,1800.7374029168082,11.088844355377422
BR-06,185,8,3,8,3,4,7,0.011100026313215494,1.0,1,True,ADVANCE,9,1282.360776859909,11.15564462257849
BR-06,186,9,3,9,3,4,6,0.006599992047995329,1.0,1,True,ADVANCE,5,1000.0,11.22244488977956
BR-06,187,9,2,9,2,3,5,0.007499998901039362,1.0,1,True,ADVANCE,11,1800.7374029168082,11.289245156980627
BR-06,188,9,1,9,1,3,6,0.01079996582120657,1.0,1,True,ADVANCE,8,1000.0,11.356045424181696
BR-06,189,9,0,9,0,3,6,0.004599976819008589,1.0,1,True,ADVANCE,10,1800.7374029168082,11.422845691382765
BR-06,190,10,0,10,0,4,5,0.009600014891475439,1.0,1,True,ADVANCE,8,1000.0,11.489645958583834
BR-06,191,10,1,10,1,3,4,0.00790000194683671,1.0,1,True,ADVANCE,7,1441.9177913467624,11.556446225784903
BR-06,192,10,2,10,2,4,6,0.007299997378140688,1.0,1,True,ADVANCE,13,1441.9177913467624,11.623246492985972
BR-06,193,10,3,10,3,4,7,0.008800008799880743,1.0,1,True,ADVANCE,14,1800.7374029168082,11.690046760187041
BR-06,194,10,4,10,4,4,7,0.006799993570894003,1.0,1,True,ADVANCE,5,1000.0,11.75684702738811
BR-06,195,9,4,9,4,2,4,0.003300025127828121,1.0,1,True,ADVANCE,8,1641.1803884299545,11.823647294589177
BR-06,196,9,4,9,5,1,1,0.001200009137392044,-1.0,0,False,WAIT,6,1018.3156388887342,11.823647294589177
BR-06,197,9,4,9,5,1454,33,2.5833999970927835,-1.0,0,False,WAIT,4,1000.0,11.823647294589177
BR-06,198,9,5,9,5,3,5,0.010700023267418146,1.0,1,True,ADVANCE,10,2000.0,11.890447561790248
BR-06,199,8,5,8,5,2,4,0.005200039595365524,1.0,1,True,ADVANCE,9,1129.9303907247136,11.957247828991315
BR-06,200,8,6,8,6,3,5,0.005500041879713535,1.0,1,True,ADVANCE,10,1641.1803884299545,12.024048096192384
BR-06,201,8,6,7,6,1,1,0.001400010660290718,-1.0,0,False,WAIT,9,1441.9177913467624,12.024048096192384
BR-06,202,7,6,7,6,2,4,0.003400025889277458,1.0,1,True,ADVANCE,7,1000.0,12.090848363393453
BR-06,203,7,7,7,7,4,7,0.023900007363408804,1.0,1,True,ADVANCE,12,1211.8496934239954,12.157648630594522
BR-06,204,8,7,8,7,4,6,0.010700023267418146,1.0,1,True,ADVANCE,9,1969.750718322874,12.224448897795591
BR-06,205,8,8,8,8,4,6,0.009400013368576765,1.0,1,True,ADVANCE,12,1282.360776859909,12.291249164996659
BR-06,206,9,8,9,8,3,4,0.00589998671784997,1.0,1,True,ADVANCE,7,1000.0,12.35804943219773
BR-06,207,9,7,9,7,3,4,0.009599956683814526,1.0,1,True,ADVANCE,8,1000.0,12.424849699398797
BR-06,208,9,6,9,6,3,6,0.014599994756281376,1.0,1,True,ADVANCE,7,1000.0,12.491649966599866
BR-06,209,10,6,10,6,5,8,0.01910002902150154,1.0,1,True,ADVANCE,8,1601.474805833616,12.558450233800937
BR-06,210,10,5,10,5,3,6,0.006999995093792677,1.0,1,True,ADVANCE,6,1055.6379982778428,12.625250501002002
BR-06,211,11,5,11,5,5,8,0.009400013368576765,1.0,1,True,ADVANCE,13,1936.0726861534208,12.692050768203073
BR-06,212,11,4,11,4,3,5,0.006599992047995329,1.0,1,True,ADVANCE,4,1000.0,12.758851035404142
BR-06,213,11,3,11,3,3,6,0.005100038833916187,1.0,1,True,ADVANCE,11,1282.360776859909,12.825651302605209
BR-06,214,11,2,11,2,3,6,0.00790000194683671,1.0,1,True,ADVANCE,8,1185.5683890025564,12.89245156980628
BR-06,215,11,1,11,1,3,6,0.005400041118264198,1.0,1,True,ADVANCE,8,1000.0,12.959251837007349
BR-06,216,11,0,11,0,3,6,0.008800008799880743,1.0,1,True,ADVANCE,8,1800.7374029168082,13.026052104208416
BR-06,217,12,0,12,0,4,5,0.008600007276982069,1.0,1,True,ADVANCE,7,1441.9177913467624,13.092852371409485
BR-06,218,12,1,12,1,3,4,0.005699985194951296,1.0,1,True,ADVANCE,8,1000.0,13.159652638610556
BR-06,219,12,1,12,2,1,1,0.001600012183189392,-1.0,0,False,WAIT,13,1022.8734649112389,13.159652638610556
BR-06,220,12,2,12,2,4,5,0.006699992809444666,1.0,1,True,ADVANCE,8,2000.0,13.226452905811623
BR-06,221,12,3,12,3,4,7,0.006299989763647318,1.0,1,True,ADVANCE,8,1000.0,13.293253173012692
BR-06,222,12,4,12,4,4,7,0.006099988240748644,1.0,1,True,ADVANCE,9,1441.9177913467624,13.360053440213763
BR-06,223,12,4,13,4,1,1,0.004600035026669502,-1.0,0,False,WAIT,5,1000.0,13.360053440213763
BR-06,224,13,4,13,4,4,6,0.00990001717582345,1.0,1,True,ADVANCE,6,1800.7374029168082,13.426853707414828
BR-06,225,13,3,13,3,3,5,0.005499983672052622,1.0,1,True,ADVANCE,7,1000.0,13.4936539746159
BR-06,226,13,3,13,2,1379,30,1.4976999955251813,-1.0,0,False,WAIT,9,1000.0,13.4936539746159
BR-06,227,13,2,13,2,3,6,0.00790000194683671,1.0,1,True,ADVANCE,4,1000.0,13.560454241816966
