scenario,frame,robot_r,robot_c,goal_r,goal_c,nodes_expanded,max_queue_size,time_ms,path_cost,path_length,success,action,pedestrians_count,max_occupancy,coverage,replan_triggered,cells_changed,km_value
BR-06,76,1,20,1,20,2,3,0.06359996041283011,1.0,1,True,ADVANCE,8,1709.8428290555119,4.876419505678023,True,575,0.0
BR-06,77,1,19,1,19,2,3,0.0716999638825655,1.0,1,True,ADVANCE,11,1129.9303907247136,4.943219772879091,True,748,0.0
BR-06,78,1,18,1,18,2,3,0.06360001862049103,1.0,1,True,ADVANCE,7,1441.9177913467624,5.01002004008016,True,691,0.0
BR-06,79,1,17,1,17,2,3,0.0675999908708036,1.0,1,True,ADVANCE,9,1641.1803884299545,5.076820307281229,True,791,0.0
BR-06,80,1,16,1,16,2,3,0.06339995888993144,1.0,1,True,ADVANCE,10,1238.2984139466093,5.143620574482298,True,810,0.0
BR-06,81,1,16,1,15,1,1,0.04309997893869877,-1.0,0,False,WAIT,12,1129.9303907247136,5.143620574482298,True,909,0.0
BR-06,82,1,15,1,15,1,4,16.67709997855127,1.0,1,True,ADVANCE,8,1000.0,5.210420841683367,True,931,0.0
BR-06,83,2,15,2,15,2,3,0.21050003124400973,1.0,1,True,ADVANCE,8,1230.1653323127296,5.277221108884436,True,679,0.0
BR-06,84,2,14,2,14,2,3,0.06739998934790492,1.0,1,True,ADVANCE,5,1000.0,5.344021376085505,True,610,0.0
BR-06,85,3,14,3,14,2,3,0.06659998325631022,1.0,1,True,ADVANCE,9,1055.6379982778428,5.410821643286573,True,671,0.0
BR-06,86,3,13,3,13,2,3,0.06390002090483904,1.0,1,True,ADVANCE,12,1550.2858145686582,5.477621910487642,True,954,0.0
BR-06,87,3,12,3,12,2,3,0.06410002242773771,1.0,1,True,ADVANCE,6,1000.0,5.544422177688711,True,857,0.0
BR-06,88,2,12,2,12,2,3,0.06719998782500625,1.0,1,True,ADVANCE,7,1000.0,5.61122244488978,True,705,0.0
BR-06,89,1,12,1,12,2,3,0.06280001252889633,1.0,1,True,ADVANCE,13,1610.9311067528286,5.678022712090848,True,791,0.0
BR-06,90,1,11,1,11,2,3,0.06150000263005495,1.0,1,True,ADVANCE,11,1000.0,5.744822979291917,True,926,0.0
BR-06,91,1,10,1,10,2,3,0.06579997716471553,1.0,1,True,ADVANCE,5,1000.0,5.811623246492986,True,808,0.0
BR-06,92,1,9,1,9,2,3,0.07020001066848636,1.0,1,True,ADVANCE,14,1211.8496934239954,5.878423513694055,True,781,0.0
BR-06,93,1,9,1,8,1,1,0.04449998959898949,-1.0,0,False,WAIT,10,1129.9303907247136,5.878423513694055,True,988,0.0
BR-06,94,1,8,1,8,1,4,18.734300043433905,1.0,1,True,ADVANCE,14,1497.5557896246055,5.945223780895124,True,1037,0.0
BR-06,95,1,7,1,7,2,3,0.2649999805726111,1.0,1,True,ADVANCE,8,1282.360776859909,6.012024048096192,True,832,0.0
BR-06,96,1,6,1,6,2,3,0.06689998554065824,1.0,1,True,ADVANCE,9,1441.9177913467624,6.078824315297261,True,725,0.0
BR-06,97,1,6,1,5,1,1,0.0447999918833375,-1.0,0,False,WAIT,8,1800.7374029168082,6.078824315297261,True,745,0.0
BR-06,98,1,5,1,5,1,4,11.210899974685162,1.0,1,True,ADVANCE,7,1000.0,6.145624582498329,True,634,0.0
BR-06,99,1,4,1,4,2,3,0.32789999386295676,1.0,1,True,ADVANCE,8,1211.8496934239954,6.212424849699398,True,653,0.0
BR-06,100,1,3,1,3,2,3,0.09190000128000975,1.0,1,True,ADVANCE,9,1800.7374029168082,6.279225116900468,True,758,0.0
BR-06,101,1,2,1,2,2,3,0.07280003046616912,1.0,1,True,ADVANCE,5,1000.0,6.346025384101536,True,594,0.0
BR-06,102,1,2,1,0,1,1,0.04600000102072954,-1.0,0,False,WAIT,9,1800.7374029168082,6.346025384101536,True,703,0.0
BR-06,103,1,1,1,0,2,4,19.814400002360344,2.0,2,True,ADVANCE,12,1441.9177913467624,6.4128256513026045,True,987,0.0
BR-06,104,1,0,1,0,0,7,15.373899950645864,1.0,1,True,ADVANCE,9,1441.9177913467624,6.479625918503674,True,860,1.0
BR-06,105,2,0,2,0,2,2,0.3515999997034669,1.0,1,True,ADVANCE,9,1441.9177913467624,6.5464261857047426,True,743,0.0
BR-06,106,2,1,2,1,2,3,0.08420000085607171,1.0,1,True,ADVANCE,11,1129.9303907247136,6.613226452905812,True,794,0.0
BR-06,107,3,1,3,1,2,3,0.08749996777623892,1.0,1,True,ADVANCE,6,1129.9303907247136,6.6800267201068815,True,701,0.0
BR-06,108,3,0,3,0,2,2,0.07899996126070619,1.0,1,True,ADVANCE,10,1230.1653323127296,6.74682698730795,True,719,0.0
BR-06,109,4,0,4,0,2,2,0.06079999729990959,1.0,1,True,ADVANCE,7,1028.5655007845503,6.813627254509018,True,669,0.0
