scenario,frame,robot_r,robot_c,goal_r,goal_c,force_r,force_c,dr,dc,time_ms,success,action,pedestrians_count,max_occupancy,coverage,is_in_corridor,fallback_triggered
BR-06,91,3,7,3,7,0.0,-3.0,0,-1,0.018899969290941954,True,ADVANCE,5,1000.0,5.744822979291917,False,False
BR-06,92,3,7,3,6,0.0,-3.0,0,0,0.025799963623285294,False,WAIT,14,1211.8496934239954,5.744822979291917,True,True
BR-06,93,3,6,3,6,0.0,-3.0,0,-1,0.020299979951232672,True,ADVANCE,10,1129.9303907247136,5.811623246492986,False,False
BR-06,94,4,6,4,6,3.0,0.0,1,0,0.019700033590197563,True,ADVANCE,14,1497.5557896246055,5.878423513694055,False,False
BR-06,95,4,5,4,5,0.0,-3.0,0,-1,0.02300000051036477,True,ADVANCE,8,1282.360776859909,5.945223780895124,False,False
BR-06,96,4,4,4,4,0.0,-3.0,0,-1,0.020899984519928694,True,ADVANCE,9,1441.9177913467624,6.012024048096192,False,False
BR-06,97,3,4,3,4,-3.0,0.0,-1,0,0.020899984519928694,True,ADVANCE,8,1800.7374029168082,6.078824315297261,False,False
BR-06,98,4,4,4,3,3.0,-3.0,1,0,0.020599982235580683,True,ADVANCE,7,1000.0,6.078824315297261,False,False
BR-06,99,4,3,4,3,0.0,-3.0,0,-1,0.062000006437301636,True,ADVANCE,8,1211.8496934239954,6.145624582498329,False,False
BR-06,100,5,3,5,3,3.0,0.0,1,0,0.02600002335384488,True,ADVANCE,9,1800.7374029168082,6.212424849699398,False,False
BR-06,101,5,2,5,2,0.0,-3.0,0,-1,0.023100001271814108,True,ADVANCE,5,1000.0,6.279225116900468,False,False
BR-06,102,5,1,5,1,0.0,-3.0,0,-1,0.023500004317611456,True,ADVANCE,9,1800.7374029168082,6.346025384101536,False,False
BR-06,103,5,0,5,0,0.0,-3.0,0,-1,0.020300038158893585,True,ADVANCE,12,1441.9177913467624,6.4128256513026045,False,False
BR-06,104,6,0,6,0,3.0,0.0,1,0,0.020799983758479357,True,ADVANCE,9,1441.9177913467624,6.479625918503674,False,False
BR-06,105,6,1,6,1,0.0,3.0,0,1,0.020299979951232672,True,ADVANCE,9,1441.9177913467624,6.5464261857047426,False,False
BR-06,106,6,2,6,2,0.0,3.0,0,1,0.019199971575289965,True,ADVANCE,11,1129.9303907247136,6.613226452905812,False,False
BR-06,107,6,3,6,3,0.0,3.0,0,1,0.019200029782950878,True,ADVANCE,6,1129.9303907247136,6.6800267201068815,False,False
BR-06,108,6,4,6,4,0.0,3.0,0,1,0.01999997766688466,True,ADVANCE,10,1230.1653323127296,6.74682698730795,False,False
BR-06,109,5,4,5,4,-3.0,0.0,-1,0,0.021099986042827368,True,ADVANCE,7,1028.5655007845503,6.813627254509018,False,False
BR-06,110,5,5,5,5,0.0,3.0,0,1,0.019900035113096237,True,ADVANCE,13,1641.1803884299545,6.880427521710086,False,False
BR-06,111,5,6,5,6,0.0,3.0,0,1,0.020599982235580683,True,ADVANCE,10,1000.0,6.947227788911156,False,False
BR-06,112,5,7,5,7,0.0,3.0,0,1,0.019200029782950878,True,ADVANCE,3,1000.0,7.014028056112225,False,False
BR-06,113,4,7,4,7,-3.0,0.0,-1,0,0.01950003206729889,True,ADVANCE,6,1000.0,7.080828323313293,False,False
BR-06,114,4,7,4,8,0.0,3.0,0,0,0.027200032491236925,False,WAIT,9,1000.0,7.080828323313293,True,True
BR-06,115,4,8,4,8,0.0,3.0,0,1,0.02069998299703002,True,ADVANCE,6,1441.9177913467624,7.147628590514363,False,False
BR-06,116,4,9,4,9,0.0,3.0,0,1,0.019400031305849552,True,ADVANCE,5,1000.0,7.214428857715431,False,False
BR-06,117,4,10,4,10,0.0,3.0,0,1,0.01910002902150154,True,ADVANCE,6,1011.7436284570214,7.2812291249165,False,False
BR-06,118,4,10,4,11,0.0,3.0,0,0,0.023600005079060793,False,WAIT,4,1000.0,7.2812291249165,True,True
BR-06,119,4,11,4,11,0.0,3.0,0,1,0.02039998071268201,True,ADVANCE,14,1601.474805833616,7.348029392117568,False,False
BR-06,120,4,12,4,12,0.0,3.0,0,1,0.020799983758479357,True,ADVANCE,9,1810.1937038360206,7.414829659318638,False,False
BR-06,121,4,13,4,13,0.0,3.0,0,1,0.021199986804276705,True,ADVANCE,7,1000.0,7.481629926519706,False,False
BR-06,122,4,14,4,14,0.0,3.0,0,1,0.020099978428333998,True,ADVANCE,4,1000.0,7.548430193720774,False,False
BR-06,123,5,14,5,14,3.0,0.0,1,0,0.021200045011937618,True,ADVANCE,6,1000.0,7.615230460921844,False,False
BR-06,124,5,13,5,13,0.0,-3.0,0,-1,0.020400038920342922,True,ADVANCE,7,1028.5655007845503,7.682030728122912,False,False
BR-06,125,5,12,5,12,0.0,-3.0,0,-1,0.025200017262250185,True,ADVANCE,14,2028.5655007845503,7.748830995323981,False,False
BR-06,126,5,11,5,11,0.0,-3.0,0,-1,0.045900000259280205,True,ADVANCE,7,1022.8734649112389,7.8156312625250495,False,False
BR-06,127,5,11,5,10,0.0,-3.0,0,0,0.032100011594593525,False,WAIT,5,1000.0,7.8156312625250495,True,True
BR-06,128,5,10,5,10,0.0,-3.0,0,-1,0.02269999822601676,True,ADVANCE,7,1055.6379982778428,7.882431529726119,False,False
BR-06,129,5,9,5,9,0.0,-3.0,0,-1,0.02099998528137803,True,ADVANCE,9,1129.9303907247136,7.9492317969271875,False,False
BR-06,130,5,8,5,8,0.0,-3.0,0,-1,0.021799991372972727,True,ADVANCE,17,1441.9177913467624,8.016032064128256,False,False
BR-06,131,6,8,6,8,3.0,0.0,1,0,0.02169999061152339,True,ADVANCE,6,1441.9177913467624,8.082832331329326,False,False
BR-06,132,6,7,6,7,0.0,-3.0,0,-1,0.02069998299703002,True,ADVANCE,5,1000.0,8.149632598530394,False,False
BR-06,133,6,6,6,6,0.0,-3.0,0,-1,0.020299979951232672,True,ADVANCE,9,1641.1803884299545,8.216432865731463,False,False
BR-06,134,6,5,6,5,0.0,-3.0,0,-1,0.01969997538253665,True,ADVANCE,9,1823.610867828047,8.283233132932532,False,False
BR-06,135,7,5,7,5,3.0,0.0,1,0,0.02110004425048828,True,ADVANCE,9,1800.7374029168082,8.3500334001336,False,False
BR-06,136,7,4,7,4,0.0,-3.0,0,-1,0.01969997538253665,True,ADVANCE,5,1000.0,8.41683366733467,False,False
BR-06,137,7,3,7,3,0.0,-3.0,0,-1,0.019799976143985987,True,ADVANCE,10,1000.0,8.483633934535737,False,False
BR-06,138,7,2,7,2,0.0,-3.0,0,-1,0.019799976143985987,True,ADVANCE,5,1000.0,8.550434201736808,False,False
